City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Belyy Yar,RU,2022-09-12 08:59:40,53.6039,91.3903,64.85,59,0,11.18
59,Padang,ID,2022-09-12 08:55:32,-0.9492,100.3543,87.85,81,92,4.05
60,Sumbe,AO,2022-09-12 08:59:41,-11.2061,13.8437,74.43,72,10,5.53
61,Strezhevoy,RU,2022-09-12 08:59:41,60.7333,77.5889,51.64,47,80,11.1
62,Antofagasta,CL,2022-09-12 08:59:41,-23.65,-70.4,56.48,81,65,5.99
63,Ushtobe,KZ,2022-09-12 08:59:42,45.2514,77.9838,73.6,18,0,10.76
64,Korla,CN,2022-09-12 08:59:42,41.7597,86.1469,91.76,11,100,5.3
65,Klaksvik,FO,2022-09-12 08:59:42,62.2266,-6.589,50.92,92,100,11.18
66,Thompson,CA,2022-09-12 08:59:43,55.7435,-97.8558,48.36,76,75,4.61
67,Saldanha,ZA,2022-09-12 08:59:43,-33.0117,17.9442,60.85,61,0,16.26
68,Los Llanos De Aridane,ES,2022-09-12 08:59:43,28.6585,-17.9182,72.12,89,20,3.44
69,Harper,LR,2022-09-12 08:59:44,4.375,-7.7169,76.15,85,99,9.69
70,Laguna,US,2022-09-12 08:59:44,38.421,-121.4238,78.08,49,20,4.61
71,Praia Da Vitoria,PT,2022-09-12 08:59:44,38.7333,-27.0667,71.76,94,75,20.92
72,East London,ZA,2022-09-12 08:57:42,-33.0153,27.9116,61.74,67,20,17.27
73,Vilcun,CL,2022-09-12 08:59:45,-38.65,-72.2333,32.74,97,98,2.06
74,Codrington,AU,2022-09-12 08:59:45,-38.2667,141.9667,45.48,66,9,8.08
75,Qaanaaq,GL,2022-09-12 08:59:46,77.484,-69.3632,36.81,98,100,7.14
76,Bud,US,2022-09-12 08:59:46,39.447,-86.1758,60.82,98,4,6.08
77,Kalmunai,LK,2022-09-12 08:59:46,7.4167,81.8167,86.97,62,17,14.0
78,Laje,BR,2022-09-12 08:59:46,-10.1833,-40.9667,65.21,84,68,9.04
79,Kodinar,IN,2022-09-12 08:59:47,20.7903,70.7031,84.85,76,100,9.31
80,Sao Borja,BR,2022-09-12 08:59:47,-28.6606,-56.0044,47.95,78,78,4.59
81,Yarmouth,US,2022-09-12 08:59:47,41.7057,-70.2286,66.97,95,100,1.01
82,Sapucaia,BR,2022-09-12 08:59:48,-29.8333,-51.15,54.03,84,0,8.05
83,Natal,BR,2022-09-12 08:59:48,-5.795,-35.2094,73.62,94,40,5.75
84,Panguipulli,CL,2022-09-12 08:59:48,-39.6333,-72.3333,40.24,99,61,2.37
85,Forio,IT,2022-09-12 08:59:49,40.7342,13.8646,78.53,63,0,1.99
86,Kyzyl-Suu,KG,2022-09-12 08:59:49,42.3414,78.0056,58.42,64,93,8.01
87,Madaoua,NE,2022-09-12 08:59:49,14.073,5.96,84.63,61,64,9.06
88,Zaraza,VE,2022-09-12 09:00:50,9.3503,-65.3245,71.91,95,98,2.37
89,Luau,AO,2022-09-12 09:00:50,-10.7073,22.2247,90.1,24,0,3.31
90,Tshikapa,CD,2022-09-12 09:00:50,-6.4167,20.8,85.08,53,76,5.1
91,Yenagoa,NG,2022-09-12 09:00:51,4.9247,6.2642,77.45,87,86,4.45
92,Kasane,BW,2022-09-12 09:00:51,-17.8167,25.15,90.37,11,0,5.26
93,Mvuma,ZW,2022-09-12 09:00:51,-19.2792,30.5283,86.7,13,0,2.8
94,Narsaq,GL,2022-09-12 09:00:52,60.9167,-46.05,41.22,90,82,2.26
95,Cassilandia,BR,2022-09-12 09:00:52,-19.1133,-51.7342,72.36,53,54,2.71
