City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Ciudad Bolivar,VE,75.34,few clouds,8.1222,-63.5497,Hotel Edi
505,Jos,NG,70.0,light rain,9.9167,8.9,Silk Suites
507,Ilam,NP,75.07,broken clouds,26.9167,87.9167,चियाबारी कटेज
508,Agadir,MA,72.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
509,Humaita,BR,73.36,few clouds,-7.5061,-63.0208,Corrêa Hotel
510,Cacoal,BR,76.46,broken clouds,-11.4386,-61.4472,Hotel BR 364
518,Arenapolis,BR,75.7,scattered clouds,-14.4503,-56.8461,Mato Grosso Hotel
520,Durusu,TR,76.84,clear sky,41.3053,28.6767,Durusu Talebe Yurdu
523,Bamboo,JM,70.81,broken clouds,18.3922,-77.2643,The Retreat
525,Nicoya,CR,72.43,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
529,Ferrol,ES,71.67,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
531,Praia,CV,79.63,light rain,14.9215,-23.5087,LT Aparthotel
535,Suleja,NG,76.98,overcast clouds,9.1758,7.1808,Capy Motel
538,Cap Malheureux,MU,77.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
539,Burriana,ES,76.69,light rain,39.889,-0.085,Hotel Beatriz
542,Pauini,BR,70.74,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
545,Maizieres-Les-Metz,FR,73.0,overcast clouds,49.2075,6.1605,Novotel Metz Amnéville
547,Arraias,BR,70.48,clear sky,-12.9288,-46.9437,Hotel Japão
548,At-Bashi,KG,75.09,clear sky,41.1702,75.8106,Hostel At-Bashy
550,Akhtubinsk,RU,71.78,overcast clouds,48.2795,46.1722,Vzlet
551,Baiao,BR,71.24,scattered clouds,-2.7906,-49.6717,Município de Baião
552,Panaba,MX,75.61,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
554,Itupiranga,BR,75.52,clear sky,-5.1347,-49.3267,Hotel Panorama
555,Lagoa,PT,73.51,clear sky,39.05,-27.9833,Casa Das Faias
556,Boa Vista,BR,76.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
558,Saran,FR,70.83,clear sky,47.9501,1.876,Hôtel Première Classe Orléans Nord Saran
562,Novo Aripuana,BR,76.46,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
572,De Aar,ZA,72.45,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
574,Nemours,FR,71.96,overcast clouds,48.2751,2.6908,ibis Nemours
578,Lalibela,ET,72.03,broken clouds,12.0333,39.0333,Honey Land Hotel Lalibela
590,Kisangani,CD,71.2,overcast clouds,0.5167,25.2,Grand Ramela Hotel
595,Sao Gabriel Da Cachoeira,BR,70.95,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
596,Georgiyevka,KZ,75.24,clear sky,43.0369,74.7114,Gostinitsa Imperiya
597,Sayyan,YE,74.43,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
599,Zemio,CF,71.44,overcast clouds,5.0314,25.1361,OCHA Office
600,Sagua La Grande,CU,72.59,overcast clouds,22.8067,-80.0756,Hotel Telégrafo
605,Toma,BF,79.97,broken clouds,12.7667,-2.8833,Auberge de l'amitié
608,Peniche,PT,71.11,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
609,Podgorodnyaya Pokrovka,RU,73.53,overcast clouds,51.8281,54.9874,Solnechnyy
612,George,ZA,76.55,clear sky,-33.963,22.4617,Protea by Marriott Hotel George King George
623,Eshowe,ZA,74.75,few clouds,-28.8865,31.4699,Sugar Hill Manor
627,Kambove,CD,79.56,overcast clouds,-10.8764,26.5969,Pat. Mukendi
628,Trinidad,BO,70.63,overcast clouds,-14.8333,-64.9,Hotel Piesta
638,Zwedru,LR,72.93,light rain,6.0667,-8.1281,Elijah Worjloh
643,Malazgirt,TR,77.18,clear sky,39.1427,42.5401,malazgirt otel
644,Beira,MZ,76.5,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
645,Bensonville,LR,74.75,light rain,6.4461,-10.6125,Moinga
649,Humberto De Campos,BR,77.97,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
655,Fenoarivo,MG,71.67,broken clouds,-18.933,47.4354,Skyfol Ambodiafontsy
660,Barna,RO,74.44,broken clouds,45.7167,22.05,Cabana KM 9
661,Darnah,LY,78.51,clear sky,32.767,22.6367,فندق الفردوس
663,Sumbe,AO,76.35,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
664,Ginir,ET,70.57,light rain,7.1333,40.7,Sura Dare Village
667,Puerto Cabezas,NI,78.08,few clouds,14.0351,-83.3888,Cabaña Caribe
670,Tabou,CI,76.91,overcast clouds,4.423,-7.3528,hotêl doufoulougou
673,Waspan,NI,73.31,scattered clouds,14.7419,-83.9717,Hostal casa de la rose
676,Xique-Xique,BR,71.26,clear sky,-10.8218,-42.7263,Hotel J. Macedo
678,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
691,Nosy Varika,MG,75.7,overcast clouds,-20.5833,48.5333,Hotel Volazara
698,Marsabit,KE,76.05,broken clouds,2.3284,37.9899,Chicho Hotel
701,Baillif,GP,74.7,broken clouds,16.0202,-61.7463,Hôtel Saint-Georges
702,Los Llanos De Aridane,ES,73.15,broken clouds,28.6585,-17.9182,Valle Aridane
704,Kentau,KZ,77.04,clear sky,43.5206,68.5094,Safary
705,Senador Pompeu,BR,72.48,clear sky,-5.5881,-39.3717,Pousada Ki-Delicia
706,Namibe,AO,71.91,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
707,Portobelo,PA,75.96,overcast clouds,9.55,-79.65,Scuba Portobelo
711,Coxim,BR,78.17,clear sky,-18.5067,-54.76,Rancho Da Curica
714,Fez,MA,71.85,broken clouds,34.0372,-4.9998,Hotel Mounia Fès
719,Barreirinha,BR,72.32,broken clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
727,Motril,ES,77.27,overcast clouds,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
729,Mitsamiouli,KM,78.08,broken clouds,-11.3847,43.2844,Foyer ADM
