City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Macau,MO,22.2006,113.5461,94.8,52,0,5.75,clear sky
69,Yalta,UA,44.5,34.1667,67.1,61,67,5.57,broken clouds
70,Piran,SI,45.5278,13.5706,79.48,69,0,9.22,clear sky
71,Belmonte,BR,-15.8631,-38.8828,68.31,80,7,7.7,clear sky
72,Marienburg,PL,54.0359,19.0266,63.84,68,56,14.29,broken clouds
73,Lesnoy,RU,57.6198,63.0784,57.9,48,100,4.72,overcast clouds
74,Ajdabiya,LY,30.7554,20.2263,82.13,47,0,6.4,clear sky
75,Upernavik,GL,72.7868,-56.1549,42.42,78,100,7.4,overcast clouds
76,Vardo,NO,70.3705,31.1107,45.28,61,100,8.61,overcast clouds
77,Sciacca,IT,37.5082,13.0881,82.65,62,0,10.94,clear sky
78,Abu Dhabi,AE,24.4667,54.3667,105.91,27,0,4.61,clear sky
79,Korla,CN,41.7597,86.1469,84.0,15,0,16.13,clear sky
80,Qaanaaq,GL,77.484,-69.3632,31.95,80,62,5.97,broken clouds
81,Camopi,GF,3.1655,-52.3158,69.98,100,34,1.39,scattered clouds
82,Sorland,NO,67.667,12.6934,49.86,87,100,22.17,overcast clouds
83,Bodden Town,KY,19.2833,-81.25,79.93,74,31,3.0,scattered clouds
84,Clyde River,CA,70.4692,-68.5914,37.63,100,100,5.75,mist
85,Yayva,RU,59.3303,57.2641,61.18,44,53,3.36,broken clouds
86,Vila Velha,BR,-20.3297,-40.2925,71.55,83,0,4.61,clear sky
87,Jamestown,US,42.097,-79.2353,59.72,77,40,8.05,mist
88,Virginia Beach,US,36.8529,-75.978,73.42,74,40,3.44,scattered clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,46.09,96,100,4.61,fog
90,Outjo,NA,-20.1167,16.15,87.75,8,0,15.99,clear sky
91,Kroonstad,ZA,-27.6504,27.2349,69.98,38,0,10.38,clear sky
92,Chunhuhub,MX,19.55,-88.6833,73.58,99,99,1.86,overcast clouds
93,Iqaluit,CA,63.7506,-68.5145,42.53,81,100,4.61,light rain
94,Port Elizabeth,ZA,-33.918,25.5701,73.09,60,0,11.5,clear sky
95,Marsh Harbour,BS,26.5412,-77.0636,82.87,72,49,5.64,scattered clouds
96,Kolpashevo,RU,58.3131,82.9089,54.81,51,69,4.7,broken clouds
97,Cravo Norte,CO,6.3017,-70.2041,73.35,94,24,4.43,few clouds
98,Ubatuba,BR,-23.4339,-45.0711,68.34,95,85,5.97,overcast clouds
99,Pritzwalk,DE,53.1494,12.1741,59.59,64,100,10.42,overcast clouds
100,San Lawrenz,MT,36.0553,14.204,81.81,70,0,1.99,clear sky
101,Safaga,EG,26.7292,33.9365,88.97,47,0,14.97,clear sky
102,Yangambi,CD,0.8102,24.4336,75.45,85,100,4.32,light rain
103,Sabzevar,IR,36.2126,57.6819,90.68,15,0,6.91,clear sky
104,Hambantota,LK,6.1241,81.1185,88.14,74,40,12.66,scattered clouds
105,Ugoofaaru,MV,5.6667,73.0,81.21,74,67,5.39,broken clouds
106,Kayerkan,RU,69.3497,87.7602,41.52,86,100,15.08,light rain
107,Rio Gallegos,AR,-51.6226,-69.2181,28.45,86,0,1.14,clear sky
108,Mantua,IT,45.1667,10.7833,78.35,75,100,3.0,overcast clouds
109,Saint-Augustin,CA,51.226,-58.6502,55.42,88,100,7.09,overcast clouds
110,Arlit,NE,18.7369,7.3853,100.0,9,4,13.29,clear sky
111,Campos Gerais,BR,-21.235,-45.7586,70.11,42,78,2.55,broken clouds
112,Santa Maria,BR,-29.6842,-53.8069,50.49,98,36,1.97,scattered clouds
113,Bindi,SL,9.9167,-11.45,71.82,96,100,2.48,overcast clouds
114,Oranjemund,NA,-28.55,16.4333,81.93,16,0,5.3,clear sky
115,Tukrah,LY,32.5341,20.5791,80.82,48,0,12.77,clear sky
116,Neyshabur,IR,36.2133,58.7958,86.47,10,0,6.53,clear sky
117,Berezanka,UA,46.8526,31.388,67.59,44,30,12.1,scattered clouds
118,Bakchar,RU,57.0186,82.0711,53.19,55,75,2.82,broken clouds
119,Margate,GB,51.3813,1.3862,61.9,94,100,3.0,light rain
120,New Richmond,US,45.123,-92.5366,56.95,91,0,0.0,clear sky
121,Izhma,RU,65.0083,53.9113,58.41,61,64,8.84,light rain
122,Bereda,ES,43.2686,-7.5406,67.57,83,98,3.58,overcast clouds
123,Tambura,SS,5.6,27.4667,74.68,90,100,3.06,moderate rain
124,Obo,CF,5.3998,26.4869,75.9,91,100,4.52,moderate rain
125,Muzhi,RU,65.3667,64.6667,55.76,53,84,10.96,broken clouds
126,Olafsvik,IS,64.8945,-23.7142,45.84,72,100,7.23,overcast clouds
127,Pangody,RU,65.85,74.4859,50.5,72,97,9.53,light rain
128,Libreville,GA,0.3925,9.4537,78.82,78,75,8.05,broken clouds
129,Manaure,CO,11.7751,-72.4445,82.27,75,100,14.5,overcast clouds
130,Luderitz,NA,-26.6481,15.1594,70.72,48,0,13.31,clear sky
131,Edd,ER,13.9297,41.6925,96.82,48,79,10.36,broken clouds
132,Kharp,RU,66.8014,65.8081,49.44,72,94,8.08,overcast clouds
133,Camacha,PT,33.0833,-16.3333,71.02,68,20,12.66,few clouds
134,Arco,IT,45.9177,10.8867,76.77,71,100,2.95,overcast clouds
135,Salta,AR,-24.7859,-65.4117,54.19,44,75,5.75,broken clouds
